valid_time,latitude,longitude,mean_t2m
25-06-24,18.8,72.8,301.72305
26-06-24,19.05,72.8,301.77405
26-06-24,18.8,72.8,301.5196
27-06-24,19.05,72.8,301.6015
27-06-24,18.8,72.8,301.3924
28-06-24,19.05,72.8,301.05896
28-06-24,18.8,72.8,300.9479
29-06-24,19.05,72.8,301.091
29-06-24,18.8,72.8,300.96896
30-06-24,19.05,72.8,301.38815
30-06-24,18.8,72.8,301.31485
01-07-24,19.05,72.8,301.3173
01-07-24,18.8,72.8,301.17105
02-07-24,19.05,72.8,301.8655
02-07-24,18.8,72.8,301.6562
03-07-24,19.05,72.8,302.36945
03-07-24,18.8,72.8,302.13394
04-07-24,19.05,72.8,301.72058
04-07-24,18.8,72.8,301.4249
05-07-24,19.05,72.8,301.21088
05-07-24,18.8,72.8,301.02597
06-07-24,19.05,72.8,301.31583
06-07-24,18.8,72.8,301.06802
07-07-24,19.05,72.8,301.69305
07-07-24,18.8,72.8,301.41922
08-07-24,19.05,72.8,300.63614
08-07-24,18.8,72.8,300.39307
09-07-24,19.05,72.8,300.37216
09-07-24,18.8,72.8,300.33066
10-07-24,19.05,72.8,300.68924
10-07-24,18.8,72.8,300.5
11-07-24,19.05,72.8,300.4141
11-07-24,18.8,72.8,300.23923
12-07-24,19.05,72.8,300.44714
12-07-24,18.8,72.8,300.30945
13-07-24,19.05,72.8,300.40283
13-07-24,18.8,72.8,300.3799
14-07-24,19.05,72.8,300.15298
14-07-24,18.8,72.8,299.96207
15-07-24,19.05,72.8,300.43988
15-07-24,18.8,72.8,300.1685
16-07-24,19.05,72.8,300.50504
16-07-24,18.8,72.8,300.33954
17-07-24,19.05,72.8,300.6098
17-07-24,18.8,72.8,300.3856
18-07-24,19.05,72.8,300.41034
18-07-24,18.8,72.8,300.27808
19-07-24,19.05,72.8,300.42667
19-07-24,18.8,72.8,300.3455
20-07-24,19.05,72.8,300.34506
20-07-24,18.8,72.8,300.22012
21-07-24,19.05,72.8,300.4074
21-07-24,18.8,72.8,300.2355
22-07-24,19.05,72.8,300.48743
22-07-24,18.8,72.8,300.46072
23-07-24,19.05,72.8,300.34293
23-07-24,18.8,72.8,300.2101
24-07-24,19.05,72.8,300.32455
24-07-24,18.8,72.8,300.13684
25-07-24,19.05,72.8,300.52063
25-07-24,18.8,72.8,300.3052
26-07-24,19.05,72.8,301.16904
26-07-24,18.8,72.8,300.94785
27-07-24,19.05,72.8,300.8323
27-07-24,18.8,72.8,300.66788
28-07-24,19.05,72.8,300.70193
28-07-24,18.8,72.8,300.58017
29-07-24,19.05,72.8,300.3981
29-07-24,18.8,72.8,300.17545
30-07-24,19.05,72.8,300.2593
30-07-24,18.8,72.8,300.15732
31-07-24,19.05,72.8,300.1555
