valid_time,latitude,longitude,max_tp
08-09-24,18.8,72.8,0.00032864
09-09-24,19.05,72.8,0.000452352
09-09-24,18.8,72.8,0.000494221
10-09-24,19.05,72.8,0.000748044
10-09-24,18.8,72.8,0.000579411
11-09-24,19.05,72.8,0.000483591
11-09-24,18.8,72.8,0.000693291
12-09-24,19.05,72.8,0.000778544
12-09-24,18.8,72.8,0.000878736
13-09-24,19.05,72.8,0.000346923
13-09-24,18.8,72.8,0.000354276
14-09-24,19.05,72.8,0.000282747
14-09-24,18.8,72.8,0.000354686
15-09-24,19.05,72.8,0.000559674
15-09-24,18.8,72.8,0.0006075
16-09-24,19.05,72.8,0.000325017
16-09-24,18.8,72.8,0.000309289
17-09-24,19.05,72.8,0.000215113
17-09-24,18.8,72.8,0.000190636
18-09-24,19.05,72.8,0.000207696
18-09-24,18.8,72.8,0.000191019
19-09-24,19.05,72.8,7.79E-05
19-09-24,18.8,72.8,6.85E-05
20-09-24,19.05,72.8,0.000255293
20-09-24,18.8,72.8,0.000194537
21-09-24,19.05,72.8,0.000207794
21-09-24,18.8,72.8,0.00015506
22-09-24,19.05,72.8,0.000229821
22-09-24,18.8,72.8,0.000233367
23-09-24,19.05,72.8,0.001235484
23-09-24,18.8,72.8,0.000738292
24-09-24,19.05,72.8,0.004505971
24-09-24,18.8,72.8,0.002799103
25-09-24,19.05,72.8,0.006437089
25-09-24,18.8,72.8,0.005756851
26-09-24,19.05,72.8,0.003195465
26-09-24,18.8,72.8,0.00460454
27-09-24,19.05,72.8,0.003632895
27-09-24,18.8,72.8,0.003223522
28-09-24,19.05,72.8,0.000896414
28-09-24,18.8,72.8,0.000735833
29-09-24,19.05,72.8,0.00029486
29-09-24,18.8,72.8,0.000288012
30-09-24,19.05,72.8,7.30E-05
30-09-24,18.8,72.8,8.31E-05
01-10-24,19.05,72.8,3.13E-05
01-10-24,18.8,72.8,2.99E-05
02-10-24,19.05,72.8,0.000119087
02-10-24,18.8,72.8,0.000203072
03-10-24,19.05,72.8,3.42E-05
03-10-24,18.8,72.8,8.03E-05
04-10-24,19.05,72.8,0.000196818
04-10-24,18.8,72.8,0.000154114
05-10-24,19.05,72.8,0.000164115
05-10-24,18.8,72.8,0.000182541
06-10-24,19.05,72.8,0.000304208
06-10-24,18.8,72.8,0.000840665
07-10-24,19.05,72.8,0.001067203
07-10-24,18.8,72.8,0.000929881
08-10-24,19.05,72.8,3.86E-06
08-10-24,18.8,72.8,0.000941953
09-10-24,19.05,72.8,0.000383391
09-10-24,18.8,72.8,0.000363804
10-10-24,19.05,72.8,0.004351571
10-10-24,18.8,72.8,0.004031211
11-10-24,19.05,72.8,0.002983706
11-10-24,18.8,72.8,0.00225574
12-10-24,19.05,72.8,0.004732277
12-10-24,18.8,72.8,0.003904115
13-10-24,19.05,72.8,0.003704448
13-10-24,18.8,72.8,0.003925202
14-10-24,19.05,72.8,0.001739006
14-10-24,18.8,72.8,0.001449938
15-10-24,19.05,72.8,0.000966022
15-10-24,18.8,72.8,0.000327895
16-10-24,19.05,72.8,0.002046064
16-10-24,18.8,72.8,0.001124606
17-10-24,19.05,72.8,0.001183249
17-10-24,18.8,72.8,0.002391828
18-10-24,19.05,72.8,0.000518366
18-10-24,18.8,72.8,0.000421219
19-10-24,19.05,72.8,0.002900362
19-10-24,18.8,72.8,0.001655727
20-10-24,19.05,72.8,0.00089777
20-10-24,18.8,72.8,0.000568222
21-10-24,19.05,72.8,0.001714018
21-10-24,18.8,72.8,0.001885862
22-10-24,19.05,72.8,0.002275491
22-10-24,18.8,72.8,0.001629583
23-10-24,19.05,72.8,0.000338711
23-10-24,18.8,72.8,0.000343335
24-10-24,19.05,72.8,0
24-10-24,18.8,72.8,1.91E-07
25-10-24,19.05,72.8,0
25-10-24,18.8,72.8,0
26-10-24,19.05,72.8,0
26-10-24,18.8,72.8,0
27-10-24,19.05,72.8,0
27-10-24,18.8,72.8,0
28-10-24,19.05,72.8,6.67E-07
28-10-24,18.8,72.8,9.53E-08
29-10-24,19.05,72.8,0.000234028
29-10-24,18.8,72.8,0.000134924
30-10-24,19.05,72.8,1.91E-06
30-10-24,18.8,72.8,1.28E-05
31-10-24,19.05,72.8,5.57E-05
31-10-24,18.8,72.8,9.84E-05
01-11-24,19.05,72.8,9.82E-06
01-11-24,18.8,72.8,0.000139646
02-11-24,19.05,72.8,0
02-11-24,18.8,72.8,0
03-11-24,19.05,72.8,0
03-11-24,18.8,72.8,0
04-11-24,19.05,72.8,0
04-11-24,18.8,72.8,0
05-11-24,19.05,72.8,0
05-11-24,18.8,72.8,0
06-11-24,19.05,72.8,0
06-11-24,18.8,72.8,0
07-11-24,19.05,72.8,0
07-11-24,18.8,72.8,0
08-11-24,19.05,72.8,0
08-11-24,18.8,72.8,0
09-11-24,19.05,72.8,0
09-11-24,18.8,72.8,0
10-11-24,19.05,72.8,0
10-11-24,18.8,72.8,0
11-11-24,19.05,72.8,0
11-11-24,18.8,72.8,0
12-11-24,19.05,72.8,0
12-11-24,18.8,72.8,0
13-11-24,19.05,72.8,0
13-11-24,18.8,72.8,0
14-11-24,19.05,72.8,0
14-11-24,18.8,72.8,0
15-11-24,19.05,72.8,3.33E-10
15-11-24,18.8,72.8,1.05E-06
16-11-24,19.05,72.8,2.86E-07
16-11-24,18.8,72.8,5.91E-06
17-11-24,19.05,72.8,0
17-11-24,18.8,72.8,0
18-11-24,19.05,72.8,0
18-11-24,18.8,72.8,0
19-11-24,19.05,72.8,0
19-11-24,18.8,72.8,0
20-11-24,19.05,72.8,0
20-11-24,18.8,72.8,0
21-11-24,19.05,72.8,0
21-11-24,18.8,72.8,0
22-11-24,19.05,72.8,0
22-11-24,18.8,72.8,0
23-11-24,19.05,72.8,0
23-11-24,18.8,72.8,0
24-11-24,19.05,72.8,0
24-11-24,18.8,72.8,0
25-11-24,19.05,72.8,0
25-11-24,18.8,72.8,0
26-11-24,19.05,72.8,0
26-11-24,18.8,72.8,0
27-11-24,19.05,72.8,0
27-11-24,18.8,72.8,0
28-11-24,19.05,72.8,0
28-11-24,18.8,72.8,0
29-11-24,19.05,72.8,0
29-11-24,18.8,72.8,0
30-11-24,19.05,72.8,0
30-11-24,18.8,72.8,0
01-12-24,19.05,72.8,0
01-12-24,18.8,72.8,0
02-12-24,19.05,72.8,0
02-12-24,18.8,72.8,1.05E-05
03-12-24,19.05,72.8,4.49E-06
03-12-24,18.8,72.8,3.42E-05
04-12-24,19.05,72.8,7.82E-06
04-12-24,18.8,72.8,1.63E-05
05-12-24,19.05,72.8,0
05-12-24,18.8,72.8,0
06-12-24,19.05,72.8,0
06-12-24,18.8,72.8,0
07-12-24,19.05,72.8,0
07-12-24,18.8,72.8,0
08-12-24,19.05,72.8,0
08-12-24,18.8,72.8,0
09-12-24,19.05,72.8,0
09-12-24,18.8,72.8,0
10-12-24,19.05,72.8,0
10-12-24,18.8,72.8,0
11-12-24,19.05,72.8,0
11-12-24,18.8,72.8,0
12-12-24,19.05,72.8,0
12-12-24,18.8,72.8,0
13-12-24,19.05,72.8,0
13-12-24,18.8,72.8,0
14-12-24,19.05,72.8,0
14-12-24,18.8,72.8,0
15-12-24,19.05,72.8,0
15-12-24,18.8,72.8,0
16-12-24,19.05,72.8,0
16-12-24,18.8,72.8,0
17-12-24,19.05,72.8,0
17-12-24,18.8,72.8,0
18-12-24,19.05,72.8,0
18-12-24,18.8,72.8,0
19-12-24,19.05,72.8,0
19-12-24,18.8,72.8,0
20-12-24,19.05,72.8,7.63E-07
20-12-24,18.8,72.8,0
21-12-24,19.05,72.8,1.91E-07
21-12-24,18.8,72.8,2.86E-07
22-12-24,19.05,72.8,6.14E-05
22-12-24,18.8,72.8,4.64E-05
