valid_time,latitude,longitude,mean_tp
08-07-24,18.8,72.8,0.000435048
09-07-24,19.05,72.8,0.002225036
09-07-24,18.8,72.8,0.0024365
10-07-24,19.05,72.8,0.000404756
10-07-24,18.8,72.8,0.000476538
11-07-24,19.05,72.8,0.001141932
11-07-24,18.8,72.8,0.001124354
12-07-24,19.05,72.8,0.002005507
12-07-24,18.8,72.8,0.002045307
13-07-24,19.05,72.8,0.00276801
13-07-24,18.8,72.8,0.002478031
14-07-24,19.05,72.8,0.001229698
14-07-24,18.8,72.8,0.001583057
15-07-24,19.05,72.8,0.000546525
15-07-24,18.8,72.8,0.000741562
16-07-24,19.05,72.8,0.000754235
16-07-24,18.8,72.8,0.001008093
17-07-24,19.05,72.8,0.001275934
17-07-24,18.8,72.8,0.001572551
18-07-24,19.05,72.8,0.002574402
18-07-24,18.8,72.8,0.003004969
19-07-24,19.05,72.8,0.001377599
19-07-24,18.8,72.8,0.001481377
20-07-24,19.05,72.8,0.003997592
20-07-24,18.8,72.8,0.003825896
21-07-24,19.05,72.8,0.001904136
21-07-24,18.8,72.8,0.002038581
22-07-24,19.05,72.8,0.001466106
22-07-24,18.8,72.8,0.001496304
23-07-24,19.05,72.8,0.001885164
23-07-24,18.8,72.8,0.002047047
24-07-24,19.05,72.8,0.001802086
24-07-24,18.8,72.8,0.00199908
25-07-24,19.05,72.8,0.001248867
25-07-24,18.8,72.8,0.001860341
26-07-24,19.05,72.8,0.000410045
26-07-24,18.8,72.8,0.000436629
27-07-24,19.05,72.8,0.000451964
27-07-24,18.8,72.8,0.000451835
28-07-24,19.05,72.8,0.00063424
28-07-24,18.8,72.8,0.000622318
29-07-24,19.05,72.8,0.000646232
29-07-24,18.8,72.8,0.000873011
30-07-24,19.05,72.8,0.000587032
30-07-24,18.8,72.8,0.000647345
31-07-24,19.05,72.8,0.000423538
31-07-24,18.8,72.8,0.000512498
01-08-24,19.05,72.8,0.00042381
01-08-24,18.8,72.8,0.000501866
02-08-24,19.05,72.8,0.000729206
02-08-24,18.8,72.8,0.000872119
03-08-24,19.05,72.8,0.001150052
03-08-24,18.8,72.8,0.001254617
04-08-24,19.05,72.8,0.002170549
04-08-24,18.8,72.8,0.001982792
05-08-24,19.05,72.8,0.000442676
05-08-24,18.8,72.8,0.000491284
06-08-24,19.05,72.8,0.000251138
06-08-24,18.8,72.8,0.000282917
07-08-24,19.05,72.8,0.000198015
07-08-24,18.8,72.8,0.000246423
08-08-24,19.05,72.8,0.000174739
08-08-24,18.8,72.8,0.000202416
09-08-24,19.05,72.8,0.000254932
09-08-24,18.8,72.8,0.000295749
10-08-24,19.05,72.8,0.000272355
10-08-24,18.8,72.8,0.000276824
11-08-24,19.05,72.8,0.000148109
11-08-24,18.8,72.8,0.000144004
12-08-24,19.05,72.8,0.000213511
12-08-24,18.8,72.8,0.000201741
13-08-24,19.05,72.8,9.39E-05
13-08-24,18.8,72.8,9.03E-05
14-08-24,19.05,72.8,5.15E-05
14-08-24,18.8,72.8,4.55E-05
15-08-24,19.05,72.8,6.23E-05
15-08-24,18.8,72.8,4.15E-05
16-08-24,19.05,72.8,5.85E-05
16-08-24,18.8,72.8,4.98E-05
17-08-24,19.05,72.8,4.32E-05
17-08-24,18.8,72.8,3.83E-05
18-08-24,19.05,72.8,7.70E-05
18-08-24,18.8,72.8,6.88E-05
19-08-24,19.05,72.8,0.000205575
19-08-24,18.8,72.8,0.00024842
20-08-24,19.05,72.8,0.000166702
