valid_time,latitude,longitude,msl,number
2022-09-19,19.05,72.8,100936.336,0
2022-09-19,18.8,72.8,100951.04,0
2022-09-20,19.05,72.8,100890.66,0
2022-09-20,18.8,72.8,100903.086,0
2022-09-21,19.05,72.8,100892.586,0
2022-09-21,18.8,72.8,100903.445,0
2022-09-22,19.05,72.8,100921.76,0
2022-09-22,18.8,72.8,100934.56,0
2022-09-23,19.05,72.8,100915.25,0
2022-09-23,18.8,72.8,100929.555,0
2022-09-24,19.05,72.8,100847.41,0
2022-09-24,18.8,72.8,100863.73,0
2022-09-25,19.05,72.8,100827.32,0
2022-09-25,18.8,72.8,100836.62,0
2022-09-26,19.05,72.8,101006.68,0
2022-09-26,18.8,72.8,101013.79,0
2022-09-27,19.05,72.8,100912.75,0
2022-09-27,18.8,72.8,100919.77,0
2022-09-28,19.05,72.8,100794.48,0
2022-09-28,18.8,72.8,100798.79,0
2022-09-29,19.05,72.8,100774.63,0
2022-09-29,18.8,72.8,100780.78,0
2022-09-30,19.05,72.8,100821.41,0
2022-09-30,18.8,72.8,100827.06,0
2022-10-01,19.05,72.8,100895.06,0
2022-10-01,18.8,72.8,100906.66,0
2022-10-02,19.05,72.8,100905.53,0
2022-10-02,18.8,72.8,100913.57,0
2022-10-03,19.05,72.8,100947.62,0
2022-10-03,18.8,72.8,100952.055,0
2022-10-04,19.05,72.8,100933.875,0
2022-10-04,18.8,72.8,100937.72,0
2022-10-05,19.05,72.8,100824.375,0
2022-10-05,18.8,72.8,100831.445,0
2022-10-06,19.05,72.8,100641.375,0
2022-10-06,18.8,72.8,100654.94,0
2022-10-07,19.05,72.8,100513.77,0
2022-10-07,18.8,72.8,100538.01,0
2022-10-08,19.05,72.8,100734.375,0
2022-10-08,18.8,72.8,100754.56,0
2022-10-09,19.05,72.8,100913.18,0
2022-10-09,18.8,72.8,100921.54,0
2022-10-10,19.05,72.8,101015.23,0
2022-10-10,18.8,72.8,101019.625,0
2022-10-11,19.05,72.8,100930.87,0
2022-10-11,18.8,72.8,100936.13,0
2022-10-12,19.05,72.8,100967.12,0
2022-10-12,18.8,72.8,100971.03,0
2022-10-13,19.05,72.8,100962.57,0
2022-10-13,18.8,72.8,100965.31,0
2022-10-14,19.05,72.8,100939.164,0
2022-10-14,18.8,72.8,100939.98,0
2022-10-15,19.05,72.8,100847.47,0
2022-10-15,18.8,72.8,100843.73,0
2022-10-16,19.05,72.8,100938.56,0
2022-10-16,18.8,72.8,100932.85,0
2022-10-17,19.05,72.8,101075.875,0
2022-10-17,18.8,72.8,101075.24,0
